spotify:artist:31TPClRtHm23RisEBtV3X7	Justin Timberlake
spotify:artist:0bMt8SJlp0gFRUufzifS05	K.I.Z
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x	Kanye West
spotify:artist:11wRdbnoYqRddKBrpHt4Ue	Kasabian
spotify:artist:47BNWfpngeFHYvBlPPyraM	Kate Ryan
spotify:artist:0UF7XLthtbSF2Eur7559oV	Kavinsky
spotify:artist:3WTRGOdgo9ZUwqRzvObalK	Kealux
spotify:artist:3AuMNF8rQAKOzjYppFNAoB	Kelly Rowland
spotify:artist:63wjoROpeh5f11Qm93UiJ1	Keri Hilson
spotify:artist:6LqNN22kT3074XbTVUrhzX	Kesha
spotify:artist:0Chxmm4XMM87mJOHvyiUzL	Kevin Rudolf
spotify:artist:1vfezMIyCr4XUdYRaKIKi3	Keyshia Cole
spotify:artist:4zxvC7CRGvggq9EWXOpwAo	Kiesza
spotify:artist:2qk9voo8llSGYcZ6xrBzKx	Kings of Leon
spotify:artist:4HBMToZ4yMR07eiK9IxtjK	Klaypex
spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD	Korn
spotify:artist:5squ8uM6fhMQY71t9xobJC	Kosheen
spotify:artist:23fqKkggKUBHNkbKtXEls4	Kygo
spotify:artist:4RVnAU35WRWra6OZ3CbbMA	Kylie Minogue
spotify:artist:3K2zB87GZv1krx031en5VA	La Roux
spotify:artist:2feDdbD5araYcm6JhFHHw7	Labrinth
spotify:artist:1HY2Jd0NmPuamShAr6KMms	Lady Gaga
spotify:artist:00FQb4jTyendYWaN8pK0wa	Lana Del Rey
spotify:artist:066X20Nz7iquqkkCW6Jxy6	LCD Soundsystem
spotify:artist:4uOvkJcVuoOxaY7lsCwav4	Le Bober
spotify:artist:5gznATMVO85ZcLTkE9ULU7	Lenny Kravitz
spotify:artist:55Aa2cqylxrFIXC767Z865	Lil Wayne
spotify:artist:13saZpZnCDWOI9D4IJhp1f	Lily Allen
spotify:artist:165ZgPlLkK7bf5bDoFc6Sb	Limp Bizkit
spotify:artist:6XyY86QOPPrYVGvF9ch6wz	Linkin Park
spotify:artist:1P8IfcNKwrkQP5xJWuhaOC	LL COOL J
spotify:artist:6BXnCNvWCmFRvlMazWAomB	Lloren
spotify:artist:163tK9Wjr9P9DmM0AVK7lm	Lorde
spotify:artist:7KnaZr690xW0sCihF9Z8oP	lostprophets
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi	Ludacris
spotify:artist:2uFUBdaVGtyMqckSeCl0Qj	Ludovico Einaudi
spotify:artist:01QTIT5P1pFP3QnnFSdsJf	Lupe Fiasco
spotify:artist:19y5MFBH7gohEdGwKM7QsP	Luther Vandross
spotify:artist:0V2oXYR7DtrZAEFeILRW2r	Lvbel C5
